strategy,start_date,end_date,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,average_weight,min_weight,max_weight,total_turnover,transaction_cost_drag,n_trades,variant
Enhanced Bayesian Agent,2021-01-05,2025-12-30,1253,0.23105410397567083,0.041761063037586005,0.07064989026814411,0.5910987671613693,0.6775457124633767,-0.08147072195898741,0.5125898240917595,0.446555390493425,0.0,0.9779755272563466,20.999121645145607,0.020999121645145606,189,mean-variance
Enhanced Bayesian Agent,2021-01-05,2025-12-30,1253,0.22628094219804962,0.04097872972719728,0.07094936468528411,0.5775771200907855,0.6524438481047182,-0.08288614995516463,0.4943977944368726,0.44424434382948697,0.0,0.9861216792398444,22.15622674493614,0.02215622674493614,257,mean-variance
"RS: bull>0.5, bear>0.10, sw=0.7",2021-01-05,2025-12-30,1253,0.4858779492033005,0.07959334709014396,0.11115300148655873,0.7160701557822428,0.9237853317549696,-0.1503765397099569,0.5292936467594076,0.7365813047876111,,,11.857155943700675,0.011857155943700676,146,regime-switch
"RS: bull>0.3, bear>0.10, sw=0.8",2021-01-05,2025-12-30,1253,0.5194163335817765,0.08409243420002357,0.12149447835136322,0.6921502552307558,0.8883300916736769,-0.17251132148163573,0.4874603792828486,0.7905081953742714,,,9.717960144910805,0.009717960144910805,129,regime-switch
"RS: bull>0.3, bear>0.10, sw=0.95",2021-01-05,2025-12-30,1253,0.6189347977963324,0.09683163367052892,0.13594418223677301,0.7122896476870041,0.9082424293240453,-0.1892622256304508,0.5116268359836379,0.8699077185127554,,,8.393421872362403,0.008393421872362403,84,regime-switch
"RS: bull>0.3, bear>0.15, sw=0.95",2021-01-05,2025-12-30,1253,0.6043825692137978,0.09501566289191771,0.13666301665719657,0.6952551261930181,0.8823970099793954,-0.20483108516989101,0.4638732583636405,0.871836710094512,,,8.445671191962482,0.008445671191962482,86,regime-switch
"RS: bull>0.3, bear>0.15, sw=1.0",2021-01-05,2025-12-30,1253,0.6321056062214765,0.09845114362649802,0.14105658709487903,0.6979549530733843,0.8852897355764335,-0.21094258464154458,0.4667200972899634,0.8962220883803537,,,8.753318880096987,0.008753318880096986,68,regime-switch
"RS: bull>0.3, bear>0.20, sw=1.0",2021-01-05,2025-12-30,1253,0.6649413859796423,0.1039469934127931,0.1418320689800323,0.7328878028806531,0.9311235666263041,-0.20516454389780203,0.5066518387532492,0.900180046884452,,,7.950391922676721,0.00795039192267672,63,regime-switch
"BD: thr=0.10, scale=3.0",2021-01-05,2025-12-30,1253,0.6578407957467223,0.10283288983275847,0.1412024453625864,0.7282656441869635,0.9266890294681835,-0.20999912800299092,0.4896824611161903,0.8966865544877239,,,7.594089577260584,0.007594089577260584,79,bear-defense
"BD: thr=0.15, scale=3.0",2021-01-05,2025-12-30,1253,0.6714599313775602,0.1047328665221346,0.14200569777443794,0.7375258046933613,0.9401701679683306,-0.2117322059321488,0.4946477842662114,0.9011506351808151,,,7.537549297899512,0.007537549297899511,75,bear-defense
"BD: thr=0.15, scale=4.0, min=0.1",2021-01-05,2025-12-30,1253,0.6800375411879158,0.10576232255746273,0.14112044096379409,0.7494472227775787,0.9680791787202676,-0.21302185824041608,0.4964857758310397,0.8991860160326767,,,6.6341834088230645,0.006634183408823064,61,bear-defense
"BD: thr=0.20, scale=3.0",2021-01-05,2025-12-30,1253,0.6869835491253391,0.10659211508591014,0.1411919071292687,0.754944934544438,0.9634731718740113,-0.2099204465952127,0.5077738582152055,0.8940883364571384,,,8.173044936490392,0.008173044936490391,71,bear-defense
"BD: thr=0.20, scale=4.0",2021-01-05,2025-12-30,1253,0.6949862776220495,0.10754392150755833,0.14258364010236035,0.754251479555108,0.9622659109151922,-0.21013225512865996,0.5117915925934895,0.9055884660804117,,,7.9774717326483575,0.007977471732648357,68,bear-defense
"BD: thr=0.20, scale=5.0",2021-01-05,2025-12-30,1253,0.6860824768560496,0.10648466314667664,0.14235670421385493,0.7480129842477274,0.9534436495621468,-0.20961160147237445,0.5080093964203154,0.9048317222555247,,,7.716073863975167,0.007716073863975167,65,bear-defense
"BD: thr=0.25, scale=3.0",2021-01-05,2025-12-30,1253,0.6929935675580938,0.10730733890139714,0.14157341417831273,0.7579624996981621,0.9690520680476046,-0.21091868075920206,0.5087616635716866,0.8962954463420523,,,8.413097134634626,0.008413097134634626,71,bear-defense
"BD: thr=0.25, scale=4.0",2021-01-05,2025-12-30,1253,0.6867636394743213,0.10656589638195808,0.14122643117334524,0.7545747314902843,0.9631986211805713,-0.2107520777637648,0.5056457687758097,0.8944048769591753,,,8.134830813110936,0.008134830813110937,67,bear-defense
"BD: thr=0.25, scale=5.0",2021-01-05,2025-12-30,1253,0.7059408203024593,0.10883954226302099,0.14108691701062828,0.7714361088124279,0.9866311394665915,-0.20559403982843116,0.5293905521475618,0.8940608764795389,,,8.337052251243616,0.008337052251243617,60,bear-defense
