period,strategy,n_days,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown
normal,Buy and Hold,964,1.9829525809089068,0.2856994081520796,0.15138154347291666,1.8872803222751757,2.5909716401101432,-0.18902206184283954
normal,Moving Average 50/200,964,0.8440615747058986,0.1599756951846062,0.11934126067844665,1.3404894021996723,1.3985842410396254,-0.18902206184283943
normal,Single-Regime No-Belief,964,1.180789182729618,0.20381854675601732,0.10799590519245586,1.8872803222751753,2.590971640110143,-0.13883402682000023
normal,Bayesian Belief-State,964,0.6836438271378953,0.1361846661022071,0.08774299854220229,1.5520858457635862,2.0094611841775887,-0.09305381839440241
2022 Bear Market (Inflation/Rate Hikes),Buy and Hold,196,-0.24949752267589306,-0.3690158490203888,0.24137845988671078,-1.5287853323514604,-2.271853653173205,-0.25425096619230403
2022 Bear Market (Inflation/Rate Hikes),Moving Average 50/200,196,-0.12530817436120006,-0.17213612648296506,0.10738579405869504,-1.6029692567052094,-1.3854393099490345,-0.13084819363237532
2022 Bear Market (Inflation/Rate Hikes),Single-Regime No-Belief,196,-0.18515322192677042,-0.263256667431518,0.1721998908941629,-1.52878533235146,-2.271853653173204,-0.1888384263612175
2022 Bear Market (Inflation/Rate Hikes),Bayesian Belief-State,196,-0.13937536932576677,-0.1929816496748613,0.08267783136888082,-2.3341401979188565,-3.100109863344,-0.14157187978321795
2023 Regional Banking Crisis,Buy and Hold,14,-0.0022175783057650123,-0.039960733926359224,0.19038139932515538,-0.20989830975088938,-0.3916869799520782,-0.03413067594186703
2023 Regional Banking Crisis,Moving Average 50/200,14,-0.0022175783057650123,-0.039960733926359224,0.19038139932515538,-0.20989830975088938,-0.3916869799520782,-0.03413067594186703
2023 Regional Banking Crisis,Single-Regime No-Belief,14,-0.0015825281443217134,-0.028508069963655278,0.13581848275714653,-0.2098983097508887,-0.391686979952077,-0.02446976029818615
2023 Regional Banking Crisis,Bayesian Belief-State,14,-0.01791182064134657,-0.3253352216067393,0.05140883458234518,-6.328391301802937,-7.009069381431291,-0.022436174354605987
2023 Q3 Correction (Bond Yields Spike),Buy and Hold,64,-0.10144839199749119,-0.42119884978402145,0.12157946696382933,-3.4643913178968853,-5.351284782530723,-0.10276617093291363
2023 Q3 Correction (Bond Yields Spike),Moving Average 50/200,64,-0.10144839199749119,-0.42119884978402145,0.12157946696382933,-3.4643913178968853,-5.351284782530723,-0.10276617093291363
2023 Q3 Correction (Bond Yields Spike),Single-Regime No-Belief,64,-0.07347423924886747,-0.30048412775355765,0.08673504237274544,-3.4643913178968844,-5.351284782530722,-0.07444381715757264
2023 Q3 Correction (Bond Yields Spike),Bayesian Belief-State,64,-0.10389005238823788,-0.43191289632983765,0.12185447777011699,-3.54449753701015,-5.423651182891754,-0.10520425048467275
2024 August Volatility (Yen Carry Unwind),Buy and Hold,15,-0.07900421573747592,-1.3826369774325604,0.2097494608379762,-6.59184997143138,-9.469970823305326,-0.08485144350207396
2024 August Volatility (Yen Carry Unwind),Moving Average 50/200,15,-0.07900421573747592,-1.3826369774325604,0.2097494608379762,-6.59184997143138,-9.469970823305326,-0.08485144350207396
2024 August Volatility (Yen Carry Unwind),Single-Regime No-Belief,15,-0.057022504392894066,-0.9863760700597224,0.149635697768397,-6.5918499714313805,-9.469970823305328,-0.0612973857671405
2024 August Volatility (Yen Carry Unwind),Bayesian Belief-State,15,-0.04760560026445887,-0.8194375483861753,0.15985322581983166,-5.1261871268694446,-7.955282748881223,-0.0536521718906694
